dataset	participant_id	classification	count
dset-cambridge	sub-04570	accepted	8
dset-cambridge	sub-04570	rejected	12
dset-cambridge	sub-04570	ignored	3
dset-cambridge	sub-04710	accepted	16
dset-cambridge	sub-04710	rejected	12
dset-cambridge	sub-04710	ignored	4
dset-cambridge	sub-04800	accepted	16
dset-cambridge	sub-04800	rejected	12
dset-cambridge	sub-04800	ignored	3
dset-cambridge	sub-11310	accepted	9
dset-cambridge	sub-11310	rejected	14
dset-cambridge	sub-11310	ignored	6
dset-cambridge	sub-12599	accepted	21
dset-cambridge	sub-12599	rejected	9
dset-cambridge	sub-12599	ignored	2
dset-cambridge	sub-16053	accepted	17
dset-cambridge	sub-16053	rejected	22
dset-cambridge	sub-16053	ignored	7
dset-cambridge	sub-17821	accepted	14
dset-cambridge	sub-17821	rejected	10
dset-cambridge	sub-17821	ignored	3
dset-cambridge	sub-19284	accepted	14
dset-cambridge	sub-19284	rejected	21
dset-cambridge	sub-19284	ignored	3
dset-cambridge	sub-19774	accepted	15
dset-cambridge	sub-19774	rejected	14
dset-cambridge	sub-19774	ignored	2
dset-cambridge	sub-19943	accepted	39
dset-cambridge	sub-19943	rejected	15
dset-cambridge	sub-19943	ignored	2
dset-cambridge	sub-19979	accepted	27
dset-cambridge	sub-19979	rejected	18
dset-cambridge	sub-19979	ignored	2
dset-cambridge	sub-20094	accepted	11
dset-cambridge	sub-20094	rejected	32
dset-cambridge	sub-20094	ignored	0
dset-cambridge	sub-20407	accepted	20
dset-cambridge	sub-20407	rejected	14
dset-cambridge	sub-20407	ignored	1
dset-cambridge	sub-20408	accepted	13
dset-cambridge	sub-20408	rejected	11
dset-cambridge	sub-20408	ignored	4
dset-cambridge	sub-20409	accepted	25
dset-cambridge	sub-20409	rejected	11
dset-cambridge	sub-20409	ignored	1
dset-cambridge	sub-20450	accepted	2
dset-cambridge	sub-20450	rejected	3
dset-cambridge	sub-20450	ignored	2
dset-cambridge	sub-20462	accepted	13
dset-cambridge	sub-20462	rejected	10
dset-cambridge	sub-20462	ignored	2
dset-cambridge	sub-20503	accepted	22
dset-cambridge	sub-20503	rejected	13
