dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-cambridge	sub-04570	6710	510	1725	5435	1704	1041	639	91
dset-cambridge	sub-04710	6615	544	1678	5646	2095	1648	568	16
dset-cambridge	sub-04800	6848	533	1559	5813	2106	1467	658	139
dset-cambridge	sub-11310	6564	512	1673	5741	1975	1340	734	124
dset-cambridge	sub-12599	6931	517	1531	5433	1848	1084	646	106
dset-cambridge	sub-16053	7077	579	1562	5401	1727	1115	558	12
dset-cambridge	sub-17821	6099	538	1396	4747	1479	1067	464	9
dset-cambridge	sub-19284	8536	606	1678	5880	1875	1108	580	11
dset-cambridge	sub-19774	7836	535	1539	5280	1754	1226	569	7
dset-cambridge	sub-19943	6315	515	1377	4894	1456	879	559	27
dset-cambridge	sub-19979	7311	644	1576	6310	2406	1926	559	16
dset-cambridge	sub-20094	7917	678	1725	6867	2375	1795	829	142
dset-cambridge	sub-20407	7916	585	1648	5839	1858	1136	567	2
dset-cambridge	sub-20408	6889	559	1735	4766	1294	686	544	10
dset-cambridge	sub-20409	6549	510	1536	4847	1513	1003	490	6
dset-cambridge	sub-20450	6871	591	1728	5529	1619	1004	574	25
dset-cambridge	sub-20462	6653	557	1386	5647	1994	1355	506	6
dset-cambridge	sub-20503	8518	642	1801	5829	1910	1393	568	18
dset-cambridge	sub-20758	7711	568	1618	5243	1574	1009	538	25
dset-cambridge	sub-20823	7983	581	1796	5579	1735	1400	574	5
dset-cambridge	sub-20824	7588	611	1799	5589	1742	1243	562	10
dset-cambridge	sub-20835	7336	647	1598	5691	1887	1442	495	4
dset-cambridge	sub-20847	7590	551	1719	5377	1915	1290	563	32
dset-cambridge	sub-20851	7408	582	1719	5232	1743	957	627	40
dset-cambridge	sub-20860	8191	640	1658	5552	1731	1110	542	7
dset-cambridge	sub-20861	6516	525	1451	4513	1269	571	569	90
dset-cambridge	sub-20862	8418	570	1770	5715	1746	963	603	39
dset-cambridge	sub-20864	7637	561	1657	5861	1957	1278	596	26
dset-cambridge	sub-20866	7290	672	1724	5419	1813	1295	480	41
dset-cambridge	sub-20892	7177	633	1898	5913	2042	1419	519	3
dset-cambridge	sub-20893	7857	666	1880	5805	2018	1528	600	9
dset-cambridge	sub-20907	5959	519	1479	4383	1373	871	453	10
dset-cambridge	sub-20932	7321	558	1706	5385	1666	1131	538	14
dset-cambridge	sub-20946	6452	628	1628	5192	1756	1378	442	8
dset-cambridge	sub-20950	7051	549	1756	5312	1680	1088	508	15
dset-cambridge	sub-20976	6568	562	1655	4968	1425	781	579	56
dset-cambridge	sub-20983	7552	623	1745	5606	1746	1255	608	11
dset-cambridge	sub-20984	7438	555	1627	5376	1687	1146	616	57
dset-cambridge	sub-21036	9457	754	1743	6373	2508	2041	784	90
dset-cambridge	sub-21116	6729	621	1918	5668	2156	1686	664	73
dset-cambridge	sub-21124	6793	576	1525	5706	2098	1176	596	46
dset-cambridge	sub-21126	6740	514	1593	5475	1776	1091	520	12
dset-cambridge	sub-21127	6613	579	1643	5814	1989	1288	645	64
dset-cambridge	sub-21187	7357	635	1559	6513	2550	1647	761	242
dset-cambridge	sub-21193	5339	431	1587	4091	1335	837	570	109
dset-cambridge	sub-21215	6968	673	1876	6383	2340	1839	609	11
dset-cambridge	sub-21252	6531	483	1416	5196	1478	687	663	166
dset-cambridge	sub-21253	7136	571	1689	5423	1871	1217	524	14
dset-cambridge	sub-21254	6008	497	1738	5149	1762	979	562	38
dset-cambridge	sub-21256	5429	469	1272	4699	1540	865	509	28
dset-cambridge	sub-21258	7913	663	1871	5982	2156	1436	528	11
dset-cambridge	sub-21260	5971	521	1492	4811	1616	1085	489	38
dset-cambridge	sub-21261	6617	551	1678	5066	1579	949	609	78
dset-cambridge	sub-21262	6371	450	1644	4780	1477	755	552	16
dset-cambridge	sub-21270	6873	557	1844	5701	1948	1289	621	62
dset-cambridge	sub-21273	6521	563	1622	4948	1690	1101	554	14
dset-cambridge	sub-21277	5381	500	1702	4735	1703	1210	553	24
dset-cambridge	sub-21278	5671	509	1536	4617	1595	1138	506	14
dset-cambridge	sub-21279	7923	626	1656	5707	1814	1428	646	12
dset-cambridge	sub-21281	7005	619	1675	5260	1817	1061	710	200
dset-cambridge	sub-21283	6193	522	1398	5256	1757	1055	532	26
dset-cambridge	sub-21300	7106	578	1783	5273	1718	1130	659	73
dset-cambridge	sub-21302	8160	611	1637	5810	1964	1335	659	85
dset-cambridge	sub-21304	6391	471	1473	4818	1607	1065	514	37
dset-cambridge	sub-21305	6193	612	1873	5970	1868	1090	717	82
dset-cambridge	sub-21306	5255	446	1352	4182	1262	884	383	4
dset-cambridge	sub-21317	9673	741	1932	6894	2233	1185	1031	611
dset-cambridge	sub-21318	8729	623	1846	5725	1725	1137	575	8
dset-cambridge	sub-21324	7942	656	1938	6220	2236	1873	676	33
dset-cambridge	sub-21371	7430	627	1764	5979	2012	1215	678	106
dset-cambridge	sub-21384	6356	561	1864	5473	1999	1327	689	77
dset-cambridge	sub-21448	5453	514	1507	4456	1291	702	459	8
dset-cambridge	sub-21449	6681	551	1668	5941	2113	1325	709	113
dset-cambridge	sub-21452	8144	626	1745	5755	1820	1024	575	16
dset-cambridge	sub-21453	7788	546	1980	5603	1662	1048	576	9
dset-cambridge	sub-21456	7090	551	1503	5598	1782	1041	576	26
dset-cambridge	sub-21611	5853	560	1551	4839	1510	865	542	12
dset-cambridge	sub-21641	6498	571	1763	5277	1919	1310	661	110
dset-cambridge	sub-21644	6586	499	1752	4934	1587	992	648	106
dset-cambridge	sub-21645	6735	586	1909	5423	1744	1325	599	20
dset-cambridge	sub-21646	7917	674	1902	6563	2320	1772	684	56
dset-cambridge	sub-21652	6632	651	1606	5912	2190	1660	496	5
dset-cambridge	sub-21656	7518	603	1925	5740	1960	1353	678	25
dset-cambridge	sub-21657	7325	616	1712	5723	2039	1526	586	24
dset-cambridge	sub-21658	6560	612	1672	5485	2122	1805	573	36
dset-camcan	sub-CC110033	12686	907	2630	8272	2724	1826	770	63
dset-camcan	sub-CC110037	12737	885	2656	8224	2839	2067	739	16
dset-camcan	sub-CC110045	13512	968	2825	7822	2555	1686	578	19
dset-camcan	sub-CC110056	11840	899	2142	7569	2536	1753	708	43
dset-camcan	sub-CC110069	11606	862	2977	8289	2732	1660	805	103
dset-camcan	sub-CC110087	11814	827	2380	7693	2435	1278	880	102
dset-camcan	sub-CC110098	13787	948	2731	8976	2820	1742	833	17
dset-camcan	sub-CC110101	13488	940	2824	9029	2953	1661	944	50
dset-camcan	sub-CC110126	13750	878	2618	8667	2942	2320	628	5
dset-camcan	sub-CC110174	10390	799	2188	6645	2215	1490	600	10
dset-camcan	sub-CC110182	12675	870	2452	7568	2377	1274	956	199
dset-camcan	sub-CC110187	12216	872	2282	7786	2577	1861	687	49
dset-camcan	sub-CC110319	14119	933	2716	8862	3394	2578	706	3
dset-camcan	sub-CC110411	15448	1049	3172	9448	3294	2294	1012	71
dset-camcan	sub-CC110606	13904	951	2972	9608	3310	2206	1039	171
dset-camcan	sub-CC112141	12863	944	2897	9034	3217	2328	936	93
dset-camcan	sub-CC120008	14314	1040	2712	9820	3744	2804	1042	143
dset-camcan	sub-CC120049	14107	970	3080	9861	3527	2805	957	46
dset-camcan	sub-CC120061	15172	848	2878	9075	2818	1899	947	76
dset-camcan	sub-CC120065	11893	867	2780	7630	2568	1752	650	26
dset-camcan	sub-CC120120	11922	936	3027	7890	2778	1853	955	80
dset-camcan	sub-CC120123	12135	785	2266	7339	2463	1812	619	4
dset-camcan	sub-CC120166	13327	986	2810	9628	3787	3108	1082	184
dset-camcan	sub-CC120182	15211	1079	2858	10170	3790	2682	1321	691
dset-camcan	sub-CC120208	14221	920	2870	9075	2954	2033	921	115
dset-camcan	sub-CC120218	12149	904	2517	7205	2536	1633	670	78
dset-camcan	sub-CC120234	12492	859	2336	7647	2514	1438	543	13
dset-camcan	sub-CC120264	15303	1028	2816	9982	3687	3121	978	113
dset-camcan	sub-CC120276	12886	841	2391	8218	2864	2164	748	14
dset-camcan	sub-CC120286	12683	973	2238	7482	2358	1693	734	20
dset-camcan	sub-CC120309	12483	957	2636	8439	2662	1534	878	47
dset-camcan	sub-CC120313	12595	996	2870	8376	2911	2404	790	24
dset-camcan	sub-CC120319	13092	925	3013	8197	2635	1853	806	32
dset-camcan	sub-CC120347	13170	871	2744	7720	2344	1681	715	24
dset-camcan	sub-CC120376	10796	824	2033	7137	2311	1603	722	19
dset-camcan	sub-CC120409	14490	1013	2894	9524	3029	2136	858	57
dset-camcan	sub-CC120462	12896	908	2718	7164	2420	1720	720	64
dset-camcan	sub-CC120469	13306	964	2654	8788	3056	2331	725	30
dset-camcan	sub-CC120470	11362	809	2392	7811	2520	1603	836	30
dset-camcan	sub-CC120550	13989	979	2871	8551	2953	2269	774	15
