participant_id	T1w	T2w	task-movie_echo-1_bold	task-movie_echo-2_bold	task-movie_echo-3_bold	task-movie_echo-4_bold	task-movie_echo-5_bold
sub-CC110033							
sub-CC110037							
sub-CC110045							
sub-CC110056							
sub-CC110069							
sub-CC110087							
sub-CC110098							
sub-CC110101							
sub-CC110126							
sub-CC110174							
sub-CC110182							
sub-CC110187							
sub-CC110319							
sub-CC110411							
sub-CC110606							
sub-CC112141							
sub-CC120008							
sub-CC120049							
sub-CC120061							
sub-CC120065							
sub-CC120120							
sub-CC120123							
sub-CC120166							
sub-CC120182							
sub-CC120208							
sub-CC120218							
sub-CC120234							
sub-CC120264							
sub-CC120276							
sub-CC120286							
sub-CC120309							
sub-CC120313							
sub-CC120319							
sub-CC120347							
sub-CC120376							
sub-CC120409							
sub-CC120462							
sub-CC120469							
sub-CC120470							
sub-CC120550							
sub-CC120640							
sub-CC120727							
sub-CC120764							
sub-CC120795							
sub-CC120816							
sub-CC120987							
sub-CC121106							
sub-CC121111							
sub-CC121144							
sub-CC121158							
sub-CC121194							
sub-CC121200							
sub-CC121317							
sub-CC121397							
sub-CC121411							
sub-CC121428							
sub-CC121479							
sub-CC121685							
sub-CC121795							
sub-CC122172							
sub-CC122405							
sub-CC122620							
sub-CC210023							
sub-CC210051							
sub-CC210088							
sub-CC210124							
sub-CC210148							
sub-CC210172							
sub-CC210182							
sub-CC210250							
sub-CC210304							
sub-CC210314							
sub-CC210422							
sub-CC210519							
sub-CC210526							
sub-CC210617							
sub-CC210657							
sub-CC212153							
sub-CC220098							
sub-CC220107							
sub-CC220115							
sub-CC220132							
sub-CC220151							
sub-CC220198							
sub-CC220203							
sub-CC220223							
sub-CC220232							
sub-CC220234							
sub-CC220284							
sub-CC220323							
sub-CC220335							
sub-CC220352							
sub-CC220372							
sub-CC220394							
sub-CC220419							
sub-CC220506							
sub-CC220518							
sub-CC220519							
sub-CC220526							
sub-CC220535							
sub-CC220567							
sub-CC220610							
sub-CC220635							
sub-CC220697							
sub-CC220713							
sub-CC220806							
sub-CC220828							
sub-CC220843							
sub-CC220901							
sub-CC220920							
sub-CC220974							
sub-CC220999							
sub-CC221002							
sub-CC221031							
sub-CC221033							
sub-CC221038							
sub-CC221040					1.0	1.0	
sub-CC221054							
sub-CC221107							
sub-CC221209							
sub-CC221220							
sub-CC221244							
sub-CC221324							
sub-CC221336			1.0				
sub-CC221352							
sub-CC221373							
sub-CC221487							
sub-CC221511							
sub-CC221527							
sub-CC221565							
sub-CC221580							
sub-CC221585							
sub-CC221595				1.0	1.0	1.0	
sub-CC221648							
sub-CC221733							
sub-CC221740							
sub-CC221755							
sub-CC221775							
sub-CC221828							
sub-CC221886							
sub-CC221935			1.0				
sub-CC221954							
sub-CC221977							
sub-CC221980							
sub-CC222120							
sub-CC222125							
sub-CC222185							
sub-CC222258							
sub-CC222264							
sub-CC222304							
sub-CC222326							
sub-CC222367							
sub-CC222496							
sub-CC222555							
sub-CC222652							
sub-CC222797							
sub-CC222956							
sub-CC223085							
sub-CC223115							
sub-CC223286				1.0	1.0	1.0	
sub-CC310008							
sub-CC310051							
sub-CC310052							
sub-CC310086							
sub-CC310129							
sub-CC310135							
sub-CC310142							
